,login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin
0,datapythonista,10058240,MDQ6VXNlcjEwMDU4MjQw,https://avatars.githubusercontent.com/u/10058240?v=4,,https://api.github.com/users/datapythonista,https://github.com/datapythonista,https://api.github.com/users/datapythonista/followers,https://api.github.com/users/datapythonista/following{/other_user},https://api.github.com/users/datapythonista/gists{/gist_id},https://api.github.com/users/datapythonista/starred{/owner}{/repo},https://api.github.com/users/datapythonista/subscriptions,https://api.github.com/users/datapythonista/orgs,https://api.github.com/users/datapythonista/repos,https://api.github.com/users/datapythonista/events{/privacy},https://api.github.com/users/datapythonista/received_events,User,False
1,rhshadrach,45562402,MDQ6VXNlcjQ1NTYyNDAy,https://avatars.githubusercontent.com/u/45562402?v=4,,https://api.github.com/users/rhshadrach,https://github.com/rhshadrach,https://api.github.com/users/rhshadrach/followers,https://api.github.com/users/rhshadrach/following{/other_user},https://api.github.com/users/rhshadrach/gists{/gist_id},https://api.github.com/users/rhshadrach/starred{/owner}{/repo},https://api.github.com/users/rhshadrach/subscriptions,https://api.github.com/users/rhshadrach/orgs,https://api.github.com/users/rhshadrach/repos,https://api.github.com/users/rhshadrach/events{/privacy},https://api.github.com/users/rhshadrach/received_events,User,False
2,datapythonista,10058240,MDQ6VXNlcjEwMDU4MjQw,https://avatars.githubusercontent.com/u/10058240?v=4,,https://api.github.com/users/datapythonista,https://github.com/datapythonista,https://api.github.com/users/datapythonista/followers,https://api.github.com/users/datapythonista/following{/other_user},https://api.github.com/users/datapythonista/gists{/gist_id},https://api.github.com/users/datapythonista/starred{/owner}{/repo},https://api.github.com/users/datapythonista/subscriptions,https://api.github.com/users/datapythonista/orgs,https://api.github.com/users/datapythonista/repos,https://api.github.com/users/datapythonista/events{/privacy},https://api.github.com/users/datapythonista/received_events,User,False
3,rhshadrach,45562402,MDQ6VXNlcjQ1NTYyNDAy,https://avatars.githubusercontent.com/u/45562402?v=4,,https://api.github.com/users/rhshadrach,https://github.com/rhshadrach,https://api.github.com/users/rhshadrach/followers,https://api.github.com/users/rhshadrach/following{/other_user},https://api.github.com/users/rhshadrach/gists{/gist_id},https://api.github.com/users/rhshadrach/starred{/owner}{/repo},https://api.github.com/users/rhshadrach/subscriptions,https://api.github.com/users/rhshadrach/orgs,https://api.github.com/users/rhshadrach/repos,https://api.github.com/users/rhshadrach/events{/privacy},https://api.github.com/users/rhshadrach/received_events,User,False
4,jbrockmendel,8078968,MDQ6VXNlcjgwNzg5Njg=,https://avatars.githubusercontent.com/u/8078968?v=4,,https://api.github.com/users/jbrockmendel,https://github.com/jbrockmendel,https://api.github.com/users/jbrockmendel/followers,https://api.github.com/users/jbrockmendel/following{/other_user},https://api.github.com/users/jbrockmendel/gists{/gist_id},https://api.github.com/users/jbrockmendel/starred{/owner}{/repo},https://api.github.com/users/jbrockmendel/subscriptions,https://api.github.com/users/jbrockmendel/orgs,https://api.github.com/users/jbrockmendel/repos,https://api.github.com/users/jbrockmendel/events{/privacy},https://api.github.com/users/jbrockmendel/received_events,User,False
5,mroeschke,10647082,MDQ6VXNlcjEwNjQ3MDgy,https://avatars.githubusercontent.com/u/10647082?v=4,,https://api.github.com/users/mroeschke,https://github.com/mroeschke,https://api.github.com/users/mroeschke/followers,https://api.github.com/users/mroeschke/following{/other_user},https://api.github.com/users/mroeschke/gists{/gist_id},https://api.github.com/users/mroeschke/starred{/owner}{/repo},https://api.github.com/users/mroeschke/subscriptions,https://api.github.com/users/mroeschke/orgs,https://api.github.com/users/mroeschke/repos,https://api.github.com/users/mroeschke/events{/privacy},https://api.github.com/users/mroeschke/received_events,User,False
6,lohmanndouglas,9731599,MDQ6VXNlcjk3MzE1OTk=,https://avatars.githubusercontent.com/u/9731599?v=4,,https://api.github.com/users/lohmanndouglas,https://github.com/lohmanndouglas,https://api.github.com/users/lohmanndouglas/followers,https://api.github.com/users/lohmanndouglas/following{/other_user},https://api.github.com/users/lohmanndouglas/gists{/gist_id},https://api.github.com/users/lohmanndouglas/starred{/owner}{/repo},https://api.github.com/users/lohmanndouglas/subscriptions,https://api.github.com/users/lohmanndouglas/orgs,https://api.github.com/users/lohmanndouglas/repos,https://api.github.com/users/lohmanndouglas/events{/privacy},https://api.github.com/users/lohmanndouglas/received_events,User,False
7,jbrockmendel,8078968,MDQ6VXNlcjgwNzg5Njg=,https://avatars.githubusercontent.com/u/8078968?v=4,,https://api.github.com/users/jbrockmendel,https://github.com/jbrockmendel,https://api.github.com/users/jbrockmendel/followers,https://api.github.com/users/jbrockmendel/following{/other_user},https://api.github.com/users/jbrockmendel/gists{/gist_id},https://api.github.com/users/jbrockmendel/starred{/owner}{/repo},https://api.github.com/users/jbrockmendel/subscriptions,https://api.github.com/users/jbrockmendel/orgs,https://api.github.com/users/jbrockmendel/repos,https://api.github.com/users/jbrockmendel/events{/privacy},https://api.github.com/users/jbrockmendel/received_events,User,False
8,mroeschke,10647082,MDQ6VXNlcjEwNjQ3MDgy,https://avatars.githubusercontent.com/u/10647082?v=4,,https://api.github.com/users/mroeschke,https://github.com/mroeschke,https://api.github.com/users/mroeschke/followers,https://api.github.com/users/mroeschke/following{/other_user},https://api.github.com/users/mroeschke/gists{/gist_id},https://api.github.com/users/mroeschke/starred{/owner}{/repo},https://api.github.com/users/mroeschke/subscriptions,https://api.github.com/users/mroeschke/orgs,https://api.github.com/users/mroeschke/repos,https://api.github.com/users/mroeschke/events{/privacy},https://api.github.com/users/mroeschke/received_events,User,False
9,rwijtvliet,4106013,MDQ6VXNlcjQxMDYwMTM=,https://avatars.githubusercontent.com/u/4106013?v=4,,https://api.github.com/users/rwijtvliet,https://github.com/rwijtvliet,https://api.github.com/users/rwijtvliet/followers,https://api.github.com/users/rwijtvliet/following{/other_user},https://api.github.com/users/rwijtvliet/gists{/gist_id},https://api.github.com/users/rwijtvliet/starred{/owner}{/repo},https://api.github.com/users/rwijtvliet/subscriptions,https://api.github.com/users/rwijtvliet/orgs,https://api.github.com/users/rwijtvliet/repos,https://api.github.com/users/rwijtvliet/events{/privacy},https://api.github.com/users/rwijtvliet/received_events,User,False
10,jbrockmendel,8078968,MDQ6VXNlcjgwNzg5Njg=,https://avatars.githubusercontent.com/u/8078968?v=4,,https://api.github.com/users/jbrockmendel,https://github.com/jbrockmendel,https://api.github.com/users/jbrockmendel/followers,https://api.github.com/users/jbrockmendel/following{/other_user},https://api.github.com/users/jbrockmendel/gists{/gist_id},https://api.github.com/users/jbrockmendel/starred{/owner}{/repo},https://api.github.com/users/jbrockmendel/subscriptions,https://api.github.com/users/jbrockmendel/orgs,https://api.github.com/users/jbrockmendel/repos,https://api.github.com/users/jbrockmendel/events{/privacy},https://api.github.com/users/jbrockmendel/received_events,User,False
11,lithomas1,47963215,MDQ6VXNlcjQ3OTYzMjE1,https://avatars.githubusercontent.com/u/47963215?v=4,,https://api.github.com/users/lithomas1,https://github.com/lithomas1,https://api.github.com/users/lithomas1/followers,https://api.github.com/users/lithomas1/following{/other_user},https://api.github.com/users/lithomas1/gists{/gist_id},https://api.github.com/users/lithomas1/starred{/owner}{/repo},https://api.github.com/users/lithomas1/subscriptions,https://api.github.com/users/lithomas1/orgs,https://api.github.com/users/lithomas1/repos,https://api.github.com/users/lithomas1/events{/privacy},https://api.github.com/users/lithomas1/received_events,User,False
12,rhshadrach,45562402,MDQ6VXNlcjQ1NTYyNDAy,https://avatars.githubusercontent.com/u/45562402?v=4,,https://api.github.com/users/rhshadrach,https://github.com/rhshadrach,https://api.github.com/users/rhshadrach/followers,https://api.github.com/users/rhshadrach/following{/other_user},https://api.github.com/users/rhshadrach/gists{/gist_id},https://api.github.com/users/rhshadrach/starred{/owner}{/repo},https://api.github.com/users/rhshadrach/subscriptions,https://api.github.com/users/rhshadrach/orgs,https://api.github.com/users/rhshadrach/repos,https://api.github.com/users/rhshadrach/events{/privacy},https://api.github.com/users/rhshadrach/received_events,User,False
13,rhshadrach,45562402,MDQ6VXNlcjQ1NTYyNDAy,https://avatars.githubusercontent.com/u/45562402?v=4,,https://api.github.com/users/rhshadrach,https://github.com/rhshadrach,https://api.github.com/users/rhshadrach/followers,https://api.github.com/users/rhshadrach/following{/other_user},https://api.github.com/users/rhshadrach/gists{/gist_id},https://api.github.com/users/rhshadrach/starred{/owner}{/repo},https://api.github.com/users/rhshadrach/subscriptions,https://api.github.com/users/rhshadrach/orgs,https://api.github.com/users/rhshadrach/repos,https://api.github.com/users/rhshadrach/events{/privacy},https://api.github.com/users/rhshadrach/received_events,User,False
14,Th3nn3ss,25160953,MDQ6VXNlcjI1MTYwOTUz,https://avatars.githubusercontent.com/u/25160953?v=4,,https://api.github.com/users/Th3nn3ss,https://github.com/Th3nn3ss,https://api.github.com/users/Th3nn3ss/followers,https://api.github.com/users/Th3nn3ss/following{/other_user},https://api.github.com/users/Th3nn3ss/gists{/gist_id},https://api.github.com/users/Th3nn3ss/starred{/owner}{/repo},https://api.github.com/users/Th3nn3ss/subscriptions,https://api.github.com/users/Th3nn3ss/orgs,https://api.github.com/users/Th3nn3ss/repos,https://api.github.com/users/Th3nn3ss/events{/privacy},https://api.github.com/users/Th3nn3ss/received_events,User,False
15,jbrockmendel,8078968,MDQ6VXNlcjgwNzg5Njg=,https://avatars.githubusercontent.com/u/8078968?v=4,,https://api.github.com/users/jbrockmendel,https://github.com/jbrockmendel,https://api.github.com/users/jbrockmendel/followers,https://api.github.com/users/jbrockmendel/following{/other_user},https://api.github.com/users/jbrockmendel/gists{/gist_id},https://api.github.com/users/jbrockmendel/starred{/owner}{/repo},https://api.github.com/users/jbrockmendel/subscriptions,https://api.github.com/users/jbrockmendel/orgs,https://api.github.com/users/jbrockmendel/repos,https://api.github.com/users/jbrockmendel/events{/privacy},https://api.github.com/users/jbrockmendel/received_events,User,False
16,rspocz,22218858,MDQ6VXNlcjIyMjE4ODU4,https://avatars.githubusercontent.com/u/22218858?v=4,,https://api.github.com/users/rspocz,https://github.com/rspocz,https://api.github.com/users/rspocz/followers,https://api.github.com/users/rspocz/following{/other_user},https://api.github.com/users/rspocz/gists{/gist_id},https://api.github.com/users/rspocz/starred{/owner}{/repo},https://api.github.com/users/rspocz/subscriptions,https://api.github.com/users/rspocz/orgs,https://api.github.com/users/rspocz/repos,https://api.github.com/users/rspocz/events{/privacy},https://api.github.com/users/rspocz/received_events,User,False
17,codamuse,116989963,U_kgDOBvkgCw,https://avatars.githubusercontent.com/u/116989963?v=4,,https://api.github.com/users/codamuse,https://github.com/codamuse,https://api.github.com/users/codamuse/followers,https://api.github.com/users/codamuse/following{/other_user},https://api.github.com/users/codamuse/gists{/gist_id},https://api.github.com/users/codamuse/starred{/owner}{/repo},https://api.github.com/users/codamuse/subscriptions,https://api.github.com/users/codamuse/orgs,https://api.github.com/users/codamuse/repos,https://api.github.com/users/codamuse/events{/privacy},https://api.github.com/users/codamuse/received_events,User,False
